Country,City,AccentCity,Region,Population,Latitude,Longitude
ad,aixas,Aix�s,06,,42.4833333,1.4666667
ad,aixirivali,Aixirivali,06,,42.4666667,1.5
ad,aixirivall,Aixirivall,06,,42.4666667,1.5
ad,aixirvall,Aixirvall,06,,42.4666667,1.5
ad,aixovall,Aixovall,06,,42.4666667,1.4833333
ad,andorra,Andorra,07,,42.5,1.5166667
ad,andorra la vella,Andorra la Vella,07,20430,42.5,1.5166667
ad,andorra-vieille,Andorra-Vieille,07,,42.5,1.5166667
de,charlottental,Charlottental,02,,49.483333,12.633333
de,charlottental,Charlottental,10,,54.333333,10.366667
de,charlottenthal,Charlottenthal,02,,49.483333,12.633333
de,charlottenthal,Charlottenthal,10,,54.333333,10.366667
de,charlottenthal,Charlottenthal,12,,53.683333,12.266667
de,cheinitz,Cheinitz,14,,52.7,11.25
de,chemnitz,Chemnitz,12,,53.583333,13.15
de,chemnitz,Chemnitz,13,246654,50.833333,12.916667
de,chossewitz,Chossewitz,11,,52.1,14.433333
de,chrieschwitz,Chrieschwitz,13,,50.516667,12.166667
de,christanz,Christanz,02,,49.833333,11.416667
de,wiesenthal,Wiesenthal,15,,50.7,10.166667
de,wiesthal,Wiesthal,02,,50.033333,9.433333
de,wildenthal,Wildenthal,13,,50.45,12.633333
de,wilhelminenthal,Wilhelminenthal,11,,52.5,12.3
de,wilhelminenthal,Wilhelminenthal,12,,53.883333,13.3
de,wilhelmsthal,Wilhelmsthal,02,,50.3,11.366667
de,wilhelmsthal,Wilhelmsthal,07,,51.2,7.3
de,winnenthal,Winnenthal,07,,51.616667,6.483333
de,wirmsthal,Wirmsthal,02,,50.15,10.066667
